carrier;weight_type;department;label;min_kg;max_kg;bracket;price_ht;price_per_100kg_ht
SCHENKER;less_100;01;AIN;1;9;1 - 9;29.5;
SCHENKER;less_100;01;AIN;10;19;10 - 19;33.64;
SCHENKER;less_100;01;AIN;20;29;20 - 29;37.77;
SCHENKER;less_100;01;AIN;30;39;30 - 39;41.9;
SCHENKER;less_100;01;AIN;40;49;40 - 49;45.44;
SCHENKER;less_100;01;AIN;50;59;50 - 59;48.97;
SCHENKER;less_100;01;AIN;60;69;60 - 69;52.52;
SCHENKER;less_100;01;AIN;70;79;70 - 79;56.06;
SCHENKER;less_100;01;AIN;80;100;80 - 100;61.96;
SCHENKER;less_100;02;AISNE;1;9;1 - 9;18.75;
SCHENKER;less_100;02;AISNE;10;19;10 - 19;21.37;
SCHENKER;less_100;02;AISNE;20;29;20 - 29;24.0;
SCHENKER;less_100;02;AISNE;30;39;30 - 39;26.61;
SCHENKER;less_100;02;AISNE;40;49;40 - 49;28.87;
SCHENKER;less_100;02;AISNE;50;59;50 - 59;31.12;
SCHENKER;less_100;02;AISNE;60;69;60 - 69;33.37;
SCHENKER;less_100;02;AISNE;70;79;70 - 79;35.62;
SCHENKER;less_100;02;AISNE;80;100;80 - 100;39.37;
SCHENKER;less_100;03;ALLIER;1;9;1 - 9;27.19;
SCHENKER;less_100;03;ALLIER;10;19;10 - 19;31.0;
SCHENKER;less_100;03;ALLIER;20;29;20 - 29;34.81;
SCHENKER;less_100;03;ALLIER;30;39;30 - 39;38.62;
SCHENKER;less_100;03;ALLIER;40;49;40 - 49;41.89;
SCHENKER;less_100;03;ALLIER;50;59;50 - 59;45.15;
SCHENKER;less_100;03;ALLIER;60;69;60 - 69;48.42;
SCHENKER;less_100;03;ALLIER;70;79;70 - 79;51.68;
SCHENKER;less_100;03;ALLIER;80;100;80 - 100;57.11;
SCHENKER;less_100;04;ALPES DE HAUTE- PROV;1;9;1 - 9;40.27;
SCHENKER;less_100;04;ALPES DE HAUTE- PROV;10;19;10 - 19;45.9;
SCHENKER;less_100;04;ALPES DE HAUTE- PROV;20;29;20 - 29;51.54;
SCHENKER;less_100;04;ALPES DE HAUTE- PROV;30;39;30 - 39;57.17;
SCHENKER;less_100;04;ALPES DE HAUTE- PROV;40;49;40 - 49;62.01;
SCHENKER;less_100;04;ALPES DE HAUTE- PROV;50;59;50 - 59;66.83;
SCHENKER;less_100;04;ALPES DE HAUTE- PROV;60;69;60 - 69;71.67;
SCHENKER;less_100;04;ALPES DE HAUTE- PROV;70;79;70 - 79;76.5;
SCHENKER;less_100;04;ALPES DE HAUTE- PROV;80;100;80 - 100;84.55;
SCHENKER;less_100;04;Localités d'altitude;1;9;1 - 9;48.33;
SCHENKER;less_100;04;Localités d'altitude;10;19;10 - 19;55.1;
SCHENKER;less_100;04;Localités d'altitude;20;29;20 - 29;61.86;
SCHENKER;less_100;04;Localités d'altitude;30;39;30 - 39;68.63;
SCHENKER;less_100;04;Localités d'altitude;40;49;40 - 49;74.42;
SCHENKER;less_100;04;Localités d'altitude;50;59;50 - 59;80.23;
SCHENKER;less_100;04;Localités d'altitude;60;69;60 - 69;86.02;
SCHENKER;less_100;04;Localités d'altitude;70;79;70 - 79;91.82;
SCHENKER;less_100;04;Localités d'altitude;80;100;80 - 100;101.49;
SCHENKER;less_100;05;ALPES (HAUTES-);1;9;1 - 9;39.5;
SCHENKER;less_100;05;ALPES (HAUTES-);10;19;10 - 19;45.02;
SCHENKER;less_100;05;ALPES (HAUTES-);20;29;20 - 29;50.55;
SCHENKER;less_100;05;ALPES (HAUTES-);30;39;30 - 39;56.08;
SCHENKER;less_100;05;ALPES (HAUTES-);40;49;40 - 49;60.82;
SCHENKER;less_100;05;ALPES (HAUTES-);50;59;50 - 59;65.56;
SCHENKER;less_100;05;ALPES (HAUTES-);60;69;60 - 69;70.3;
SCHENKER;less_100;05;ALPES (HAUTES-);70;79;70 - 79;75.04;
SCHENKER;less_100;05;ALPES (HAUTES-);80;100;80 - 100;82.94;
SCHENKER;less_100;05;Localités d'altitude;1;9;1 - 9;47.5;
SCHENKER;less_100;05;Localités d'altitude;10;19;10 - 19;54.15;
SCHENKER;less_100;05;Localités d'altitude;20;29;20 - 29;60.8;
SCHENKER;less_100;05;Localités d'altitude;30;39;30 - 39;67.44;
SCHENKER;less_100;05;Localités d'altitude;40;49;40 - 49;73.15;
SCHENKER;less_100;05;Localités d'altitude;50;59;50 - 59;78.85;
SCHENKER;less_100;05;Localités d'altitude;60;69;60 - 69;84.55;
SCHENKER;less_100;05;Localités d'altitude;70;79;70 - 79;90.25;
SCHENKER;less_100;05;Localités d'altitude;80;100;80 - 100;99.74;
SCHENKER;less_100;06;ALPES-MARITIMES;1;9;1 - 9;45.65;
SCHENKER;less_100;06;ALPES-MARITIMES;10;19;10 - 19;52.04;
SCHENKER;less_100;06;ALPES-MARITIMES;20;29;20 - 29;58.43;
SCHENKER;less_100;06;ALPES-MARITIMES;30;39;30 - 39;64.81;
SCHENKER;less_100;06;ALPES-MARITIMES;40;49;40 - 49;70.29;
SCHENKER;less_100;06;ALPES-MARITIMES;50;59;50 - 59;75.77;
SCHENKER;less_100;06;ALPES-MARITIMES;60;69;60 - 69;81.24;
